,MILAN,DnD,NetDissect
tench,0.013430396,-0.10136525,0.07820631
goldfish,0.2847764,0.21491565,0.125607
great white shark,0.09822776,0.41495508,-0.14632595
tiger shark,0.32676557,0.46873915,-0.08551075
hammerhead,-0.02990399,0.054140788,0.112951435
electric ray,-0.059608795,0.043432917,0.12635076
stingray,0.038819917,0.07039931,0.15233782
cock,0.24389966,0.2761158,0.5249389
hen,0.09875362,0.0028796827,0.3470671
ostrich,-0.23469943,-0.23824483,-0.17839694
brambling,0.32686234,0.009105928,0.24654731
goldfinch,0.06541125,0.00039977935,0.15852734
house finch,0.18467298,0.053661194,0.21328229
junco,0.06145336,-0.058614645,0.25156328
indigo bunting,0.20372924,0.20022236,-0.065358624
robin,0.2118947,-0.009189274,0.29307887
bulbul,0.23398852,-0.08307252,0.3439515
jay,0.11061951,-0.018747956,0.4932034
magpie,0.090342365,-0.10004443,0.17248501
chickadee,0.16231324,0.050667793,0.1664583
water ouzel,-0.19032569,-0.2740851,-0.0067277355
kite,0.28180277,0.04462837,0.35500017
bald eagle,0.29348254,0.78836274,0.11121635
vulture,-0.111762345,-0.21234782,0.03792465
great grey owl,-0.0908096,-0.10651365,0.079208225
European fire salamander,-0.035618857,-0.055703178,-0.11819625
common newt,0.12716338,0.19169173,0.0875319
eft,-0.057305474,-0.17503308,-0.07099933
spotted salamander,0.07793437,0.18874882,-0.12001221
axolotl,-0.41773623,-0.4679449,-0.45996732
bullfrog,0.13034078,0.22515418,0.3099519
tree frog,0.12556604,0.6135123,0.011910034
tailed frog,0.0089802025,0.04101835,0.06204773
loggerhead,-0.12482439,-0.051293243,0.029096661
leatherback turtle,0.04110099,0.23054555,-0.011708732
mud turtle,0.055837024,0.39338005,0.09116488
terrapin,-0.024779962,0.14000788,0.1202679
box turtle,0.07944131,0.26119187,0.1500617
banded gecko,0.0593132,0.23577304,-0.025606008
common iguana,-0.02711401,0.2588762,0.026241347
American chameleon,0.030798195,0.22304685,-0.28825963
whiptail,0.23674989,0.16324595,0.33673924
agama,0.06200606,-0.01281766,0.060343374
frilled lizard,0.14007287,0.37587592,0.27281797
alligator lizard,-0.0014617373,0.2831109,0.063683935
Gila monster,0.32715335,0.28052786,0.15632856
green lizard,0.20230283,0.40073535,-0.025479224
African chameleon,0.031243179,0.10305301,0.016153276
Komodo dragon,0.23702148,0.19003646,0.055376854
African crocodile,0.031276025,0.39481246,-0.011207595
American alligator,0.05494141,0.34110537,-0.22402228
triceratops,-0.030571818,-0.054675475,-0.01242777
thunder snake,-0.015381617,0.13066745,0.20694126
ringneck snake,-0.06152929,0.228084,0.038619675
hognose snake,-0.17485155,0.040390074,-0.08275044
green snake,0.19888917,0.5128731,0.27038822
king snake,0.1838607,0.65235054,0.19576898
garter snake,-0.0121148685,0.33155444,0.13337126
water snake,0.27695033,0.38949457,0.25948116
vine snake,0.002407152,0.31631905,0.0893242
night snake,0.1235191,0.33721563,0.26417962
boa constrictor,-0.27608612,-0.19507961,-0.28945968
rock python,-0.0362715,-0.007193203,-0.03246724
Indian cobra,0.16329998,0.19816412,-0.010890456
green mamba,0.23438053,0.3401257,0.19806135
sea snake,0.24042949,0.25845098,0.2179864
horned viper,-0.062179107,0.10963807,-0.03441493
diamondback,0.16417335,0.027752526,0.22199443
sidewinder,0.057456627,-0.029568838,0.11453855
trilobite,0.047738314,0.11268409,-0.05307071
harvestman,0.21755871,0.12300772,0.10808805
scorpion,0.16426128,0.5263738,0.43421474
black and gold garden spider,0.19618924,0.33462733,-0.034762792
barn spider,0.31686008,0.33162615,0.11402787
garden spider,0.30931303,0.37575585,0.06256864
black widow,0.16518338,0.32924548,0.0891063
tarantula,0.2766159,0.28046817,0.03657204
wolf spider,0.16634247,0.25838777,0.07163996
tick,0.40551716,0.09632422,0.06623129
centipede,-0.106901065,0.0135999145,-0.16653176
black grouse,0.12474917,-0.08622626,-0.14387819
ptarmigan,-0.31493148,-0.38534066,-0.31437665
ruffed grouse,-0.08456922,-0.1804375,-0.11464026
prairie chicken,0.16538398,-0.06201701,-0.0576657
peacock,0.23834018,0.70977646,0.2777446
quail,0.22894007,0.26058373,0.32787487
partridge,0.17785095,0.08329961,0.32551044
African grey,0.14809635,-0.038845345,0.22610736
macaw,-0.08103054,-0.066680156,0.13039799
sulphur-crested cockatoo,-0.11335016,-0.015300389,-0.041868057
lorikeet,-0.16786918,-0.119951814,-0.19985542
coucal,-0.0011728508,-0.15376884,0.12886633
bee eater,0.03325479,-0.037988573,0.009784352
hornbill,0.17813243,0.08093695,0.38899836
hummingbird,0.31828547,0.653392,0.12389593
jacamar,-0.08704771,-0.21082215,0.04303879
toucan,-0.040674016,-0.117988944,0.16178314
drake,0.038788132,0.13668215,0.25441647
red-breasted merganser,0.10611563,0.08650385,0.050869804
goose,0.40128806,0.11770853,0.40842968
black swan,0.2107268,0.4404269,0.30357203
tusker,0.11586855,-0.0121809095,0.12240665
echidna,-0.15552053,-0.2352366,-0.2360909
platypus,-0.09058393,0.06641705,0.02839846
wallaby,0.05038032,0.059538517,0.25325528
koala,-0.047073312,0.07082946,0.12245644
wombat,0.22040379,0.20035231,0.24816373
jellyfish,0.29407233,0.82865393,0.3043338
sea anemone,0.28370702,0.13745487,-0.014372633
brain coral,0.08422171,0.3596697,0.18321443
flatworm,0.01087986,0.032440398,0.2646843
nematode,-0.11480236,0.01702841,0.19805712
conch,0.13989946,0.30588946,0.33343965
snail,0.100008406,0.51692635,0.12173952
slug,0.19536744,0.2592442,0.014874829
sea slug,0.05954558,0.22952738,0.078564055
chiton,0.03339217,0.18126144,0.32623053
chambered nautilus,0.061814293,-0.04359502,0.10773241
Dungeness crab,0.0974169,0.18441553,0.092669345
rock crab,0.22419533,0.2711182,0.31112933
fiddler crab,0.06782087,0.16421148,0.012426357
king crab,0.026972393,0.3354417,0.1756179
American lobster,0.24963924,0.3289845,0.0096483845
spiny lobster,0.09754651,0.19275862,0.022017177
crayfish,0.05547468,0.23366997,0.10650094
hermit crab,0.16298284,0.0961374,0.21903811
isopod,0.08376896,0.087709896,0.14320576
white stork,0.3598286,0.017664455,0.004022515
black stork,0.37788013,0.06436765,0.14355399
spoonbill,0.20388852,0.05380352,0.38680136
flamingo,0.18692616,0.38227558,0.3051969
little blue heron,0.15825328,-0.15016411,0.14052102
American egret,0.057545625,0.030922862,0.13115624
bittern,0.025716549,-0.060725845,0.1684685
crane,0.30346185,0.07922765,0.194374
limpkin,0.10316638,-0.005747358,0.10677181
European gallinule,0.0063597406,-0.0906309,-0.064178005
American coot,0.21517594,0.039633602,0.25319454
bustard,0.12178296,0.041462272,0.03369059
ruddy turnstone,0.1284051,0.008475888,0.20080543
red-backed sandpiper,0.18610929,0.21539171,0.1429582
redshank,-0.1942797,-0.25680703,0.1040228
dowitcher,-0.12073901,-0.26432267,0.059461173
oystercatcher,-0.011002761,-0.16852218,-0.050719004
pelican,-0.12920995,-0.17308821,0.19016853
king penguin,0.41175577,0.3513633,-0.10333837
albatross,0.23150827,-0.00775579,-0.13056222
grey whale,0.17688717,0.50112414,0.044792946
killer whale,0.17073968,0.33196908,0.3126695
dugong,0.15274325,-0.012108864,0.09989787
sea lion,0.18154962,0.24755594,0.11730027
Chihuahua,0.103573576,-0.18225524,0.14839548
Japanese spaniel,0.19546244,0.22268063,0.22533146
Maltese dog,0.21576466,0.15343687,0.2505663
Pekinese,0.1216982,-0.03942488,0.18104531
Shih-Tzu,0.22380015,0.11705377,0.22211027
Blenheim spaniel,-0.029555066,-0.10964761,0.100134484
papillon,0.058711763,-0.0052486933,0.1845568
toy terrier,0.15617034,-0.01002309,0.3117915
Rhodesian ridgeback,0.25311258,-0.042188022,0.014680237
Afghan hound,0.20523019,-0.036135178,0.129472
basset,0.10084893,0.06829799,0.30263615
beagle,0.12998126,0.012737139,0.40661445
bloodhound,0.24949339,0.16952269,0.26744568
bluetick,-0.08475428,-0.15876643,0.14715235
black-and-tan coonhound,0.024490016,-0.08755273,0.14868648
Walker hound,0.22646476,0.012132173,0.31875905
English foxhound,0.16555563,-0.0733309,0.22236949
redbone,0.18716241,-0.01284662,0.3599038
borzoi,0.048619103,0.06882067,0.20870459
Irish wolfhound,0.1304107,0.07029336,-0.06428431
Italian greyhound,0.16767,-0.045020733,0.17700231
whippet,0.25489852,0.062294237,0.44148496
Ibizan hound,0.23977543,0.104100846,0.028066488
Norwegian elkhound,-0.017374156,-0.2600314,-0.07342838
otterhound,-0.069387496,-0.09972694,0.08607581
Saluki,0.15082064,-0.12062141,0.06111927
Scottish deerhound,0.03623618,0.078643516,-0.06796496
Weimaraner,0.12954652,0.039440423,-0.13443464
Staffordshire bullterrier,0.011194528,-0.09362642,0.05864855
American Staffordshire terrier,-0.06284553,-0.2522145,-0.0014984662
Bedlington terrier,0.0572359,-0.14871298,0.045520812
Border terrier,0.15157995,-0.16326536,0.28193486
Kerry blue terrier,0.32434782,0.12436104,0.0016838763
Irish terrier,0.26334864,0.15403442,0.2162824
Norfolk terrier,0.16784199,0.040170763,0.21063639
Norwich terrier,0.1420421,0.2534661,0.21918221
Yorkshire terrier,0.1636436,0.17000829,0.22429176
wire-haired fox terrier,0.12531917,0.01958283,0.11404553
Lakeland terrier,0.17181788,-0.12694937,0.21792036
Sealyham terrier,0.12846373,0.0072267535,0.05731536
Airedale,0.27821606,0.08997578,0.29840598
cairn,0.06999635,-0.05264974,0.27484936
Australian terrier,0.30442137,-0.06618503,0.2784576
Dandie Dinmont,-0.041938335,-0.21410973,-0.011068802
Boston bull,0.2326737,-0.06447254,0.29645723
miniature schnauzer,0.053606454,-0.05813717,0.17577896
giant schnauzer,0.21997894,0.09443198,0.18067837
standard schnauzer,0.18177317,-0.08456216,-0.06687228
Scotch terrier,0.014256089,-0.075659655,-0.1127187
Tibetan terrier,-0.001170732,-0.09691859,0.05756505
silky terrier,0.15490814,0.38909265,0.35645345
soft-coated wheaten terrier,0.0972156,-0.09877764,0.108519256
West Highland white terrier,-0.025200225,0.32702303,-0.19053371
Lhasa,-0.05692088,0.062408663,0.14476956
flat-coated retriever,-0.004157776,0.045853492,0.12778142
curly-coated retriever,0.030854702,0.09411978,-0.0530919
golden retriever,0.097565934,-0.077618994,0.24703008
Labrador retriever,0.14459015,-0.13087794,0.2215717
Chesapeake Bay retriever,0.07990395,-0.19691429,-0.10206451
German short-haired pointer,0.12578358,0.024309903,0.19923632
vizsla,-0.008073282,-0.09288478,-0.037643887
English setter,0.25581428,0.08541151,0.279135
Irish setter,0.18323456,-0.07304272,-0.05587446
Gordon setter,0.2127024,0.19749346,0.14136897
Brittany spaniel,0.24639156,0.034432586,0.17002912
clumber,0.17943841,-0.009672047,0.36509955
English springer,0.16967066,0.12419188,0.24732603
Welsh springer spaniel,0.12968037,-0.21274053,0.044303108
cocker spaniel,-0.03330141,-0.18450947,0.12273049
Sussex spaniel,0.17281097,-0.043499667,0.2062314
Irish water spaniel,-0.03156067,-0.15689433,-0.13582751
kuvasz,-0.21572334,-0.23481952,-0.09737911
schipperke,-0.03355427,-0.11740375,0.041478872
groenendael,-0.05695761,-0.15095237,0.009255669
malinois,-0.019893613,0.0011781483,0.013432869
briard,0.0927255,-0.10028952,0.24464977
kelpie,0.08445021,-0.012433773,0.20604105
komondor,0.09772133,-0.043031726,0.27758214
Old English sheepdog,0.07733258,-0.061761316,-0.020884586
Shetland sheepdog,0.23421031,0.05031251,0.21566895
collie,0.0043558995,0.018639535,0.26077268
Border collie,0.3134927,0.05355772,0.3028936
Bouvier des Flandres,-0.025322067,-0.1645869,-0.035296418
Rottweiler,0.24297331,0.13305907,0.23417605
German shepherd,0.17152053,-0.04440694,0.04916191
Doberman,0.25136903,-0.022854876,0.30835667
miniature pinscher,0.10275424,0.03246406,0.261301
Greater Swiss Mountain dog,0.08785222,0.02972988,-0.17459375
Bernese mountain dog,0.18639854,0.1523968,-0.07838571
Appenzeller,0.20075493,-0.08605886,0.18928811
EntleBucher,-0.010339876,-0.16169168,-0.013222737
boxer,0.36533934,0.04658736,0.4007735
bull mastiff,-0.107017614,-0.1261332,0.1152258
Tibetan mastiff,0.103201345,0.04507194,-0.20410995
French bulldog,0.12551446,-0.119398765,0.26935804
Great Dane,0.28815898,0.058825128,0.2901201
Saint Bernard,0.20793435,0.1256568,0.17730461
Eskimo dog,0.24194773,0.039299157,0.1779735
malamute,-0.017120233,0.10426577,0.11168076
Siberian husky,0.16139784,0.19053617,0.1145336
dalmatian,-0.21184103,-0.16716604,-0.08825447
affenpinscher,-0.18144685,-0.07757874,0.00935738
basenji,-0.18557708,-0.20358834,-0.2188294
pug,0.09700653,0.28709242,0.15236078
Leonberg,0.07261116,-0.17693627,0.02971646
Newfoundland,0.3731294,0.11054323,0.056001954
Great Pyrenees,0.13495414,-0.09719194,0.07361732
Samoyed,0.097760886,-0.18615873,0.022605192
Pomeranian,0.2496502,0.058548603,0.19359845
chow,0.015349478,-0.050745137,0.020541666
keeshond,-0.12996183,-0.09599048,0.10960594
Brabancon griffon,-0.042379435,-0.03898767,-0.039046645
Pembroke,-0.039050885,-0.27680907,-0.0725483
Cardigan,0.32313296,-0.08896856,0.29278362
toy poodle,0.23791109,0.29292172,0.3697627
miniature poodle,0.200501,0.26037183,0.121353514
standard poodle,0.12699915,0.049631618,0.16730942
Mexican hairless,0.1896282,0.11669283,0.023428058
timber wolf,0.06041153,0.08726279,0.07723617
white wolf,0.18237284,0.40138552,0.24863097
red wolf,0.2776948,0.30799785,0.24478468
coyote,0.20079447,0.22569734,0.19284056
dingo,0.100841865,-0.031052118,0.34193248
dhole,0.027710853,0.007424877,0.042733304
African hunting dog,0.25927985,0.3444438,-0.11903783
hyena,-0.12880665,0.18786204,0.056067992
red fox,0.27586964,0.14189483,0.34266245
kit fox,0.14879207,0.053923946,0.25864065
Arctic fox,0.31733757,0.48914415,-0.052248195
grey fox,0.13377564,0.16887005,-0.019306306
tabby,0.1537692,0.102825575,0.21016033
tiger cat,0.26144052,0.45992282,0.15181868
Persian cat,0.19060858,0.089970835,0.08716461
Siamese cat,-0.027326614,0.14205056,-0.0910614
Egyptian cat,0.31957874,-0.04202804,0.11546454
cougar,0.054073688,-0.06023036,0.13199216
lynx,-0.050893113,0.42847234,0.121938
leopard,0.066216454,0.50284755,-0.07110422
snow leopard,0.03772688,0.76827806,-0.08058026
jaguar,0.08654623,0.3067067,0.18758833
lion,0.22778381,0.6221446,0.11577709
tiger,0.15152167,0.59343606,0.33531034
cheetah,0.20475978,0.0036619364,0.057530437
brown bear,0.17454676,0.43622425,0.11898627
American black bear,0.14907709,0.4614651,0.04796681
ice bear,0.17603959,0.22962803,0.061279606
sloth bear,0.07483325,0.34466454,0.034618348
mongoose,0.2619021,0.39041913,-0.06440438
meerkat,0.18128404,0.18480577,-0.024380537
tiger beetle,0.3001866,0.37271973,-0.10038205
ladybug,0.18888727,0.5503065,-0.055603232
ground beetle,0.18467899,0.32961276,-0.04557414
long-horned beetle,0.0809034,0.22751753,-0.04468735
leaf beetle,-0.023500457,0.16639614,-0.24966538
dung beetle,-0.058623474,0.18322113,-0.02940815
rhinoceros beetle,-0.34536487,-0.07378401,-0.28007334
weevil,0.35509765,0.35843855,0.06785654
fly,-0.020573096,0.08495876,0.021329923
bee,0.1632809,0.096368715,-0.10005679
ant,-0.032099243,0.16927582,-0.03724093
grasshopper,0.26343974,0.58540446,-0.14382768
cricket,-0.023127517,-0.22767292,-0.13996904
walking stick,0.083409086,-0.046996675,-0.04840332
cockroach,0.17588243,0.39932588,0.067383654
mantis,0.25235823,0.39198893,-0.03182166
cicada,0.022816734,0.06474942,-0.13066605
leafhopper,0.07836417,0.212096,-0.15580447
lacewing,-0.050430115,-0.096607454,0.050769858
dragonfly,0.044994246,0.5191241,0.029777557
damselfly,-0.13643424,0.09471733,-0.12817378
admiral,-0.043581598,-0.07720544,0.05117458
ringlet,-0.02375332,0.014115884,0.107867315
monarch,0.36302826,0.29568025,0.21123889
cabbage butterfly,0.31220472,0.39491102,-0.10971153
sulphur butterfly,0.054396126,0.176783,-0.2136478
lycaenid,-0.30926427,-0.21981613,-0.27663177
starfish,-0.0025544204,0.54427236,0.073261686
sea urchin,0.12456976,0.00943331,0.06991795
sea cucumber,0.21918644,0.30855373,0.3037991
wood rabbit,0.10214892,0.20704827,0.12646978
hare,0.1638216,0.007354951,0.2892114
Angora,0.023874102,0.047108274,0.027604198
hamster,0.002612339,0.45640534,0.1251938
porcupine,-0.06955242,0.6041701,-0.16100301
fox squirrel,0.10594011,0.30292925,0.013497144
marmot,0.19032747,0.058912713,0.016144093
beaver,0.26815164,0.13251308,0.43832204
guinea pig,0.23828897,0.5170245,0.104389735
sorrel,0.08146246,0.1486487,0.252734
zebra,0.3453419,0.6505575,0.416432
hog,0.18764696,-0.02706704,0.0990079
wild boar,0.16757853,0.32011837,-0.09148378
warthog,0.15220715,0.18973309,-0.0042135753
hippopotamus,0.23018426,0.3384761,-0.037787624
ox,-0.08237044,-0.08934927,-0.09451956
water buffalo,-0.052535668,0.18090121,0.13569471
bison,0.25948435,0.53666914,-0.0904363
ram,0.14748184,-0.1376025,0.22631855
bighorn,0.034266952,0.1253732,-0.099414386
ibex,-0.020912485,-0.18082881,-0.20784217
hartebeest,-0.26108947,-0.25031132,-0.18973874
impala,0.0057777297,-0.061404977,0.06801193
gazelle,0.18865277,0.37687078,0.054404955
Arabian camel,0.23140867,0.09800951,0.09661311
llama,0.123512745,0.47346023,0.11267703
weasel,0.28859407,0.2687121,0.20623563
mink,0.1527701,0.16530593,0.11882064
polecat,-0.06364826,-0.10800646,-0.088092014
black-footed ferret,0.07289687,0.23217857,0.029732706
otter,0.17916507,0.29526812,0.11349743
skunk,0.12974465,0.10697912,0.0960032
badger,0.23958367,0.35691148,0.28148526
armadillo,0.056181006,0.083326094,-0.048744474
three-toed sloth,0.08635905,0.051255807,0.124161504
orangutan,0.018328046,0.11567432,-0.054803673
gorilla,0.14510366,-0.120788455,0.0814282
chimpanzee,0.10873998,-0.16971657,-0.028949745
gibbon,0.12554166,-0.14498605,0.17308079
siamang,-0.028724782,-0.09417205,0.018913236
guenon,-0.08375024,-0.03160623,0.050521936
patas,0.1947049,0.19123933,0.09294234
baboon,0.19807442,0.21256042,0.12131785
macaque,0.02632328,0.123910055,0.07093435
langur,0.0073538916,-0.012992122,0.0048347875
colobus,0.022580823,-0.059874374,-0.0050562196
proboscis monkey,-0.014035363,-0.08701099,0.026237108
marmoset,0.088543706,-0.0594195,0.18144368
capuchin,-0.16099912,-0.09496808,-0.03855257
howler monkey,-0.083125494,-0.10620887,-0.028976234
titi,-0.13199852,-0.24004136,0.066981405
spider monkey,0.1493084,0.36762783,0.21799453
squirrel monkey,0.22369349,0.3461012,0.15256844
Madagascar cat,0.23685549,0.32690296,0.10904405
indri,-0.030014176,0.06488362,-0.15429612
Indian elephant,0.21805738,0.35354975,-0.10866158
African elephant,0.29748917,0.26286906,-0.108880185
lesser panda,0.09084173,0.3605646,0.033264678
giant panda,0.111549385,0.51549464,0.09613669
barracouta,0.081355095,0.06932675,0.011507429
eel,-0.14023991,-0.14125738,-0.04587574
coho,0.06323824,0.024853773,0.34198722
rock beauty,0.09399229,0.06500511,0.27085546
anemone fish,0.088916294,0.5144101,0.035922576
sturgeon,0.0036548732,0.15508437,0.31519142
gar,0.06978621,-0.027518734,0.15319848
lionfish,0.22379556,0.6939068,0.19613697
puffer,0.017725905,0.17576341,0.16908512
abacus,-0.108699724,-0.19679703,-0.065073974
abaya,0.036593582,-0.010723763,0.04197577
academic gown,0.21489765,0.18173608,0.2127257
accordion,0.17214632,0.6143542,0.102197304
acoustic guitar,0.23251337,0.3764604,0.22279611
aircraft carrier,0.049035124,0.21899821,0.2736744
airliner,-0.03785755,0.3320111,0.043854948
airship,-0.20061718,0.03874964,-0.063240714
altar,0.09432568,0.021765726,0.22653893
ambulance,0.076949045,0.36109364,0.19185735
amphibian,-0.12442285,-0.22542964,-0.10249608
analog clock,0.23482022,0.4030228,0.16836008
apiary,-0.09610279,-0.22499949,-0.22717391
apron,0.27327886,0.57791954,0.34209776
ashcan,-0.18543334,0.09274174,-0.11117892
assault rifle,-0.2056847,0.08563048,-0.038008705
backpack,0.24207133,0.6780498,0.1746287
bakery,0.43016928,0.6059214,0.782727
balance beam,0.13382155,0.03451452,0.19894531
balloon,0.027830575,0.023692224,0.39243215
ballpoint,-0.018177953,0.0041090394,0.24654342
Band Aid,0.1888131,0.2833115,0.0959647
banjo,0.21499687,0.7350551,0.26797578
bannister,0.05480297,0.045082185,0.10937002
barbell,0.08205577,0.16737404,0.16118312
barber chair,0.10235517,0.0772782,0.32514068
barbershop,0.029536702,0.07835358,1.0000021
barn,0.21628416,0.3079484,1.0000007
barometer,-0.11379444,-0.11386895,-0.051001534
barrel,0.008258339,0.6470704,0.31633177
barrow,0.11510502,0.15299612,0.45820257
baseball,0.32598758,0.66854584,0.16318344
