mode,trial,n_ablated,clean_acc,adv_acc
baseline,0,0,0.8405491024287223,0.17936305732484076
text-sorted,1,0,0.8405491024287223,0.17936305732484076
text-sorted,1,2,0.8468848996832101,0.18292993630573248
text-sorted,1,4,0.8458289334741288,0.19031847133757962
text-sorted,1,6,0.8342133051742344,0.2
text-sorted,1,8,0.8141499472016895,0.21426751592356688
text-sorted,1,10,0.8152059134107709,0.22471337579617834
text-sorted,1,12,0.8078141499472017,0.2270063694267516
text-sorted,1,14,0.8078141499472017,0.22445859872611465
text-sorted,1,16,0.8109820485744457,0.22522292993630574
text-sorted,1,18,0.8120380147835269,0.22547770700636943
text-sorted,1,20,0.8141499472016895,0.22802547770700637
text-sorted,1,22,0.8035902851108765,0.24203821656050956
text-sorted,1,24,0.7624076029567054,0.25605095541401274
text-sorted,1,26,0.7529039070749736,0.27184713375796177
text-sorted,1,28,0.7624076029567054,0.27719745222929937
text-sorted,1,30,0.7455121436114044,0.27770700636942675
text-sorted,1,32,0.7412882787750792,0.2736305732484076
text-sorted,1,34,0.7127771911298838,0.2761783439490446
text-sorted,1,36,0.7117212249208026,0.27923566878980893
text-sorted,1,38,0.7074973600844773,0.2802547770700637
text-sorted,1,40,0.7096092925026399,0.2812738853503185
text-sorted,1,42,0.7053854276663146,0.2817834394904459
text-sorted,1,44,0.7074973600844773,0.28152866242038216
text-sorted,1,46,0.7074973600844773,0.28229299363057325
text-sorted,1,48,0.7074973600844773,0.2835668789808917
text-sorted,1,50,0.7074973600844773,0.28280254777070063
text-sorted,1,52,0.706441393875396,0.28229299363057325
text-sorted,1,54,0.706441393875396,0.28203821656050954
text-sorted,1,56,0.7043294614572334,0.28203821656050954
text-sorted,1,58,0.7022175290390708,0.2812738853503185
text-sorted,1,60,0.7011615628299894,0.28076433121019106
text-sorted,1,62,0.6969376979936642,0.27872611464968156
text-sorted,1,64,0.672650475184794,0.2797452229299363
text-sorted,1,66,0.6388595564941922,0.2736305732484076
text-sorted,1,68,0.604012671594509,0.2698089171974522
text-sorted,1,70,0.5955649419218585,0.2677707006369427
text-sorted,1,72,0.6050686378035903,0.2728662420382166
text-sorted,1,74,0.6029567053854277,0.2728662420382166
text-sorted,1,76,0.6061246040126715,0.27261146496815286
text-sorted,1,78,0.5818373812038015,0.2698089171974522
text-sorted,1,80,0.5691657866948258,0.27235668789808914
sort-all,1,0,0.8405491024287223,0.17936305732484076
sort-all,1,2,0.8447729672650475,0.18038216560509554
sort-all,1,4,0.8468848996832101,0.1864968152866242
sort-all,1,6,0.8447729672650475,0.18904458598726115
sort-all,1,8,0.8268215417106652,0.21273885350318472
sort-all,1,10,0.8130939809926082,0.21503184713375798
sort-all,1,12,0.8109820485744457,0.22496815286624203
sort-all,1,14,0.7993664202745512,0.23210191082802548
sort-all,1,16,0.7835269271383316,0.23745222929936305
sort-all,1,18,0.764519535374868,0.24076433121019108
sort-all,1,20,0.7676874340021119,0.2397452229299363
sort-all,1,22,0.7676874340021119,0.2405095541401274
sort-all,1,24,0.7676874340021119,0.2402547770700637
sort-all,1,26,0.7676874340021119,0.2397452229299363
sort-all,1,28,0.7655755015839493,0.2438216560509554
sort-all,1,30,0.7455121436114044,0.255031847133758
sort-all,1,32,0.7159450897571278,0.2585987261146497
sort-all,1,34,0.6969376979936642,0.2756687898089172
sort-all,1,36,0.6927138331573389,0.2759235668789809
sort-all,1,38,0.6863780359028511,0.27770700636942675
sort-all,1,40,0.672650475184794,0.27312101910828024
sort-all,1,42,0.6610348468848997,0.2746496815286624
sort-all,1,44,0.6504751847940866,0.27261146496815286
sort-all,1,46,0.617740232312566,0.2692993630573248
sort-all,1,48,0.5987328405491025,0.2611464968152866
sort-all,1,50,0.6019007391763463,0.2670063694267516
sort-all,1,52,0.5797254487856388,0.2621656050955414
sort-all,1,54,0.5649419218585006,0.25630573248407645
sort-all,1,56,0.5628299894403379,0.255796178343949
sort-all,1,58,0.5607180570221753,0.25528662420382164
sort-all,1,60,0.5617740232312566,0.25681528662420383
sort-all,1,62,0.5596620908130939,0.2575796178343949
sort-all,1,64,0.5607180570221753,0.2570700636942675
sort-all,1,66,0.5607180570221753,0.25630573248407645
sort-all,1,68,0.5596620908130939,0.2570700636942675
sort-all,1,70,0.5575501583949314,0.25630573248407645
sort-all,1,72,0.5575501583949314,0.255796178343949
sort-all,1,74,0.5586061246040127,0.25554140127388536
sort-all,1,76,0.5543822597676874,0.25630573248407645
sort-all,1,78,0.5512143611404435,0.25630573248407645
sort-all,1,80,0.5575501583949314,0.2580891719745223
random,1,0,0.8405491024287223,0.17936305732484076
random,1,2,0.8416050686378036,0.18063694267515923
random,1,4,0.8278775079197466,0.1785987261146497
random,1,6,0.7729672650475184,0.21503184713375798
random,1,8,0.7719112988384371,0.21503184713375798
random,1,10,0.7719112988384371,0.21503184713375798
random,1,12,0.7771911298838438,0.21426751592356688
random,1,14,0.7708553326293559,0.21757961783439492
random,1,16,0.7676874340021119,0.22242038216560509
random,1,18,0.7719112988384371,0.22012738853503186
random,1,20,0.7708553326293559,0.2173248407643312
random,1,22,0.7771911298838438,0.21197452229299363
random,1,24,0.7930306230200633,0.22445859872611465
random,1,26,0.7898627243928195,0.23210191082802548
random,1,28,0.7771911298838438,0.22853503184713375
random,1,30,0.7866948257655755,0.22343949044585987
random,1,32,0.7845828933474129,0.22496815286624203
random,1,34,0.7793030623020063,0.22445859872611465
random,1,36,0.7835269271383316,0.22471337579617834
random,1,38,0.7708553326293559,0.2221656050955414
random,1,40,0.7518479408658922,0.23312101910828026
random,1,42,0.7444561774023232,0.2448407643312102
random,1,44,0.7465681098204857,0.2453503184713376
random,1,46,0.7434002111932418,0.24993630573248407
random,1,48,0.7412882787750792,0.24636942675159235
random,1,50,0.7434002111932418,0.24968152866242038
random,1,52,0.7497360084477297,0.24611464968152866
random,1,54,0.7518479408658922,0.2448407643312102
random,1,56,0.7296726504751848,0.2486624203821656
random,1,58,0.7391763463569165,0.24662420382165606
random,1,60,0.7391763463569165,0.2453503184713376
random,1,62,0.7423442449841605,0.25121019108280257
random,1,64,0.7412882787750792,0.2504458598726115
random,1,66,0.7423442449841605,0.25019108280254776
random,1,68,0.7148891235480465,0.24968152866242038
random,1,70,0.7148891235480465,0.2486624203821656
random,1,72,0.7127771911298838,0.24789808917197453
random,1,74,0.7127771911298838,0.2489171974522293
random,1,76,0.7096092925026399,0.24993630573248407
random,1,78,0.6388595564941922,0.24254777070063693
random,1,80,0.6103484688489969,0.23796178343949045
random,2,0,0.8405491024287223,0.17936305732484076
random,2,2,0.8416050686378036,0.17834394904458598
random,2,4,0.8426610348468849,0.1770700636942675
random,2,6,0.8289334741288279,0.1732484076433121
random,2,8,0.8204857444561774,0.16789808917197452
random,2,10,0.8194297782470961,0.169171974522293
random,2,12,0.7845828933474129,0.21554140127388535
random,2,14,0.7793030623020063,0.21121019108280253
random,2,16,0.7402323125659979,0.22445859872611465
random,2,18,0.7265047518479408,0.24305732484076434
random,2,20,0.7275607180570222,0.24178343949044587
random,2,22,0.7328405491024287,0.2394904458598726
random,2,24,0.7349524815205913,0.23286624203821657
random,2,26,0.7360084477296727,0.2359235668789809
random,2,28,0.737064413938754,0.23643312101910827
random,2,30,0.7486800422386484,0.2356687898089172
random,2,32,0.7497360084477297,0.24076433121019108
random,2,34,0.7497360084477297,0.24560509554140128
random,2,36,0.7486800422386484,0.24356687898089172
random,2,38,0.7011615628299894,0.24331210191082803
random,2,40,0.6737064413938754,0.2443312101910828
random,2,42,0.6779303062302007,0.24407643312101912
random,2,44,0.675818373812038,0.24305732484076434
random,2,46,0.6399155227032735,0.2578343949044586
random,2,48,0.6589229144667371,0.26292993630573247
random,2,50,0.6578669482576558,0.2619108280254777
random,2,52,0.7360084477296727,0.26802547770700635
random,2,54,0.7360084477296727,0.267515923566879
random,2,56,0.7307286166842661,0.2713375796178344
random,2,58,0.7254487856388595,0.2710828025477707
random,2,60,0.7265047518479408,0.27235668789808914
random,2,62,0.7243928194297783,0.27261146496815286
random,2,64,0.7106652587117213,0.25987261146496815
random,2,66,0.7117212249208026,0.2608917197452229
random,2,68,0.6821541710665259,0.26343949044585985
random,2,70,0.6821541710665259,0.2624203821656051
random,2,72,0.6737064413938754,0.249171974522293
random,2,74,0.6779303062302007,0.25681528662420383
random,2,76,0.6789862724392819,0.2570700636942675
random,2,78,0.6631467793030623,0.25681528662420383
random,2,80,0.6663146779303062,0.2575796178343949
random,3,0,0.8405491024287223,0.17936305732484076
random,3,2,0.8447729672650475,0.181656050955414
random,3,4,0.8331573389651531,0.1778343949044586
random,3,6,0.8342133051742344,0.18471337579617833
random,3,8,0.7909186906019008,0.27388535031847133
random,3,10,0.73389651531151,0.2889171974522293
random,3,12,0.7243928194297783,0.27719745222929937
random,3,14,0.706441393875396,0.27414012738853505
random,3,16,0.7096092925026399,0.24407643312101912
random,3,18,0.6810982048574445,0.2593630573248408
random,3,20,0.6747624076029567,0.2573248407643312
random,3,22,0.672650475184794,0.24968152866242038
random,3,24,0.6737064413938754,0.2489171974522293
random,3,26,0.6779303062302007,0.2504458598726115
random,3,28,0.6800422386483632,0.2535031847133758
random,3,30,0.6673706441393875,0.2631847133757962
random,3,32,0.6642027455121436,0.26802547770700635
random,3,34,0.6430834213305174,0.2782165605095541
random,3,36,0.6420274551214361,0.2850955414012739
random,3,38,0.6388595564941922,0.2843312101910828
random,3,40,0.6494192185850053,0.28968152866242036
random,3,42,0.6346356916578669,0.2835668789808917
random,3,44,0.6198521647307286,0.2878980891719745
random,3,46,0.604012671594509,0.2843312101910828
random,3,48,0.5121436114044351,0.2715923566878981
random,3,50,0.5628299894403379,0.29630573248407643
random,3,52,0.4720168954593453,0.2621656050955414
random,3,54,0.44350580781414994,0.25605095541401274
random,3,56,0.44139387539598735,0.25605095541401274
random,3,58,0.43189017951425557,0.2540127388535032
random,3,60,0.43400211193241817,0.2540127388535032
random,3,62,0.44878563885955647,0.2662420382165605
random,3,64,0.44561774023231254,0.2578343949044586
random,3,66,0.45195353748680045,0.26038216560509553
random,3,68,0.4604012671594509,0.2667515923566879
random,3,70,0.4952481520591341,0.2840764331210191
random,3,72,0.4551214361140444,0.2639490445859873
random,3,74,0.44561774023231254,0.25019108280254776
random,3,76,0.3991552270327349,0.23210191082802548
random,3,78,0.33368532206969376,0.20662420382165606
random,3,80,0.32946145723336856,0.20535031847133758
random,4,0,0.8405491024287223,0.17936305732484076
random,4,2,0.8437170010559663,0.17961783439490445
random,4,4,0.8405491024287223,0.17936305732484076
random,4,6,0.8299894403379092,0.19796178343949045
random,4,8,0.8162618796198522,0.20560509554140127
random,4,10,0.8152059134107709,0.20687898089171974
random,4,12,0.795142555438226,0.24968152866242038
random,4,14,0.7856388595564942,0.276687898089172
random,4,16,0.7803590285110876,0.2840764331210191
random,4,18,0.7803590285110876,0.2840764331210191
random,4,20,0.7824709609292503,0.3115923566878981
random,4,22,0.7888067581837381,0.31643312101910825
random,4,24,0.7877507919746568,0.3177070063694267
random,4,26,0.7845828933474129,0.3169426751592357
random,4,28,0.7729672650475184,0.3123566878980892
random,4,30,0.7719112988384371,0.3118471337579618
random,4,32,0.781414994720169,0.3149044585987261
random,4,34,0.7740232312565998,0.31286624203821656
random,4,36,0.781414994720169,0.31057324840764333
random,4,38,0.7856388595564942,0.3115923566878981
random,4,40,0.7697993664202746,0.3149044585987261
random,4,42,0.7581837381203802,0.3184713375796178
random,4,44,0.7465681098204857,0.32203821656050957
random,4,46,0.7423442449841605,0.30904458598726114
random,4,48,0.7212249208025343,0.3151592356687898
random,4,50,0.7170010559662091,0.31286624203821656
random,4,52,0.7191129883843717,0.3118471337579618
random,4,54,0.7222808870116156,0.31261146496815284
random,4,56,0.6958817317845829,0.3059872611464968
random,4,58,0.6937697993664202,0.3070063694267516
random,4,60,0.6916578669482577,0.3070063694267516
random,4,62,0.6906019007391764,0.3080254777070064
random,4,64,0.6937697993664202,0.30751592356687896
random,4,66,0.6927138331573389,0.3072611464968153
random,4,68,0.6958817317845829,0.30165605095541403
random,4,70,0.6832101372756072,0.29961783439490447
random,4,72,0.6884899683210137,0.3006369426751592
random,4,74,0.6092925026399155,0.28382165605095544
random,4,76,0.600844772967265,0.28687898089171976
random,4,78,0.5934530095036958,0.2886624203821656
random,4,80,0.6071805702217529,0.29273885350318474
random,5,0,0.8405491024287223,0.17936305732484076
random,5,2,0.8152059134107709,0.17019108280254777
random,5,4,0.7835269271383316,0.17273885350318471
random,5,6,0.778247096092925,0.1778343949044586
random,5,8,0.7803590285110876,0.17630573248407644
random,5,10,0.7771911298838438,0.18063694267515923
random,5,12,0.7771911298838438,0.18012738853503185
random,5,14,0.7761351636747624,0.22445859872611465
random,5,16,0.7697993664202746,0.2262420382165605
random,5,18,0.7750791974656811,0.22343949044585987
random,5,20,0.7761351636747624,0.22140127388535033
random,5,22,0.7761351636747624,0.24101910828025477
random,5,24,0.7328405491024287,0.26012738853503187
random,5,26,0.7254487856388595,0.2578343949044586
random,5,28,0.7106652587117213,0.2565605095541401
random,5,30,0.6832101372756072,0.25961783439490443
random,5,32,0.6937697993664202,0.29936305732484075
random,5,34,0.6874340021119324,0.2978343949044586
random,5,36,0.6874340021119324,0.298343949044586
random,5,38,0.6863780359028511,0.2973248407643312
random,5,40,0.665258711721225,0.2937579617834395
random,5,42,0.6578669482576558,0.298343949044586
random,5,44,0.6536430834213305,0.2945222929936306
random,5,46,0.6378035902851109,0.29859872611464966
random,5,48,0.6082365364308342,0.29146496815286627
random,5,50,0.6135163674762407,0.2901910828025478
random,5,52,0.5997888067581837,0.304968152866242
random,5,54,0.6019007391763463,0.304968152866242
random,5,56,0.5575501583949314,0.2960509554140127
random,5,58,0.5554382259767687,0.2907006369426752
random,5,60,0.5564941921858501,0.2907006369426752
random,5,62,0.5343189017951425,0.28687898089171976
random,5,64,0.545934530095037,0.2856050955414013
random,5,66,0.5395987328405492,0.28687898089171976
random,5,68,0.5395987328405492,0.2863694267515924
random,5,70,0.5100316789862724,0.2789808917197452
random,5,72,0.5058078141499472,0.27770700636942675
random,5,74,0.4941921858500528,0.2743949044585987
random,5,76,0.46673706441393875,0.2705732484076433
random,5,78,0.4582893347412883,0.2670063694267516
random,5,80,0.45617740232312565,0.2647133757961783
