unit_index,layer,channel,description
0,visual_transformer_resblocks_0,0,The ground
1,visual_transformer_resblocks_0,1,Edges of objects
2,visual_transformer_resblocks_0,2,The ground
3,visual_transformer_resblocks_0,3,Horizontal lines
4,visual_transformer_resblocks_0,4,Nature
5,visual_transformer_resblocks_0,5,The ground
6,visual_transformer_resblocks_0,6,Blue and red objects
7,visual_transformer_resblocks_0,7,Circular objects
8,visual_transformer_resblocks_0,8,Vertical line pattern on objects
9,visual_transformer_resblocks_0,9,The ground
10,visual_transformer_resblocks_0,10,White objects
11,visual_transformer_resblocks_0,11,Textured areas
12,visual_transformer_resblocks_0,12,Circular objects
13,visual_transformer_resblocks_0,13,The ground
14,visual_transformer_resblocks_0,14,Green colored objects
15,visual_transformer_resblocks_0,15,Grass and rugs
16,visual_transformer_resblocks_0,16,Horizontal lines
17,visual_transformer_resblocks_0,17,Green colored objects
18,visual_transformer_resblocks_0,18,The ground
19,visual_transformer_resblocks_0,19,Textured areas
20,visual_transformer_resblocks_0,20,The ground
21,visual_transformer_resblocks_0,21,Horizontal lines
22,visual_transformer_resblocks_0,22,The ground
23,visual_transformer_resblocks_0,23,The ground
24,visual_transformer_resblocks_0,24,Nature
25,visual_transformer_resblocks_0,25,Diagonal lines
26,visual_transformer_resblocks_0,26,The ground
27,visual_transformer_resblocks_0,27,Dogs and vehicles
28,visual_transformer_resblocks_0,28,The ground
29,visual_transformer_resblocks_0,29,The ground
30,visual_transformer_resblocks_0,30,Textured areas
31,visual_transformer_resblocks_0,31,Black and white color combination
32,visual_transformer_resblocks_0,32,Diagonal lines
33,visual_transformer_resblocks_0,33,The sky
34,visual_transformer_resblocks_0,34,Black and white colored objects
35,visual_transformer_resblocks_0,35,Horizontal lines
36,visual_transformer_resblocks_0,36,Circular objects
37,visual_transformer_resblocks_0,37,Textured areas
38,visual_transformer_resblocks_0,38,Green areas in picture
39,visual_transformer_resblocks_0,39,Black and white stripes
40,visual_transformer_resblocks_0,40,The ground
41,visual_transformer_resblocks_0,41,Green colored objects
42,visual_transformer_resblocks_0,42,Edges of objects
43,visual_transformer_resblocks_0,43,Green objects
44,visual_transformer_resblocks_0,44,The ground
45,visual_transformer_resblocks_0,45,The ground
46,visual_transformer_resblocks_0,46,Circular objects
47,visual_transformer_resblocks_0,47,Horizontal lines
48,visual_transformer_resblocks_0,48,Green grass
49,visual_transformer_resblocks_0,49,Similar color patterns
50,visual_transformer_resblocks_0,50,Striped objects
51,visual_transformer_resblocks_0,51,Textured areas
52,visual_transformer_resblocks_0,52,The ground
53,visual_transformer_resblocks_0,53,Nature
54,visual_transformer_resblocks_0,54,Blurry backgrounds
