unit_index,layer,channel,description,is_text_neuron
0,conv1,0,White outlines of objects,False
1,conv1,1,Spots of the color white,False
2,conv1,2,White dots on black objects,False
3,conv1,3,Horizontal lines,False
4,conv1,4,A white outlines,False
5,conv1,5,White dots outlining objects,False
6,conv1,6,Edges,False
7,conv1,7,The top and bottom of objects,False
8,conv1,8,Blue dots,False
9,conv1,9,Black and white lettering,True
10,conv1,10,Vertical lines,False
11,conv1,11,Spots of the color white,False
12,conv1,12,Words,True
13,conv1,13,Green and yellow objects,False
14,conv1,14,Edges,False
15,conv1,15,Pale spots,False
16,conv1,16,Words,True
17,conv1,17,Red and white colored objects,False
18,conv1,18,The area under the object,False
19,conv1,19,White dots outlining objects,False
20,conv1,20,Red and yellow objects,False
21,conv1,21,Boarder of a photo,False
22,conv1,22,Spots of the color white,False
23,conv1,23,Spots of the color white,False
24,conv1,24,Words,True
25,conv1,25,Edges,False
26,conv1,26,Words,True
27,conv1,27,White lines,False
28,conv1,28,Red and yellow objects,False
29,conv1,29,Vertical lines,False
30,conv1,30,White dots outlining objects,False
31,conv1,31,White spots,False
32,conv1,32,White lines,False
33,conv1,33,Edges,False
34,conv1,34,Red and orange objects,False
35,conv1,35,White areas,False
36,conv1,36,Horizontal lines,False
37,conv1,37,White areas,False
38,conv1,38,White lines,False
39,conv1,39,White backgrounds,False
40,conv1,40,Spots of the color white,False
41,conv1,41,Edges,False
42,conv1,42,The color blue,False
43,conv1,43,White areas,False
44,conv1,44,White dots outlining objects,False
45,conv1,45,Words,True
46,conv1,46,White outlines of text,True
47,conv1,47,Nothing,False
48,conv1,48,Edges of objects,False
49,conv1,49,Horizontal lines,False
50,conv1,50,White dots outlining objects,False
51,conv1,51,White outlines of words,True
52,conv1,52,The edges,False
53,conv1,53,Words,True
54,conv1,54,Horizontal lines,False
55,conv1,55,Blue objects,False
56,conv1,56,Sharks and white lettering,True
57,conv1,57,White outlines of black objects,False
58,conv1,58,Edges,False
59,conv1,59,White lines,False
60,conv1,60,White outlines,False
61,conv1,61,Areas around a central item and edges,False
62,conv1,62,White dots,False
63,conv1,63,Words and grids,True
64,layer1,0,Blue skies,False
65,layer1,1,Words,True
66,layer1,2,Words,True
67,layer1,3,Edges,False
68,layer1,4,Sharks and white lettering,True
69,layer1,5,Words and letters,True
70,layer1,6,Words,True
71,layer1,7,Words,True
72,layer1,8,Horizontal lines,False
73,layer1,9,Words and letters,True
74,layer1,10,Words and letters,True
75,layer1,11,Words and white areas,True
76,layer1,12,Horizontal lines,False
77,layer1,13,Words,True
78,layer1,14,Words,True
79,layer1,15,Sharks and white lettering,True
80,layer1,16,Words and letters,True
81,layer1,17,Black and white colored objects,False
82,layer1,18,Words,True
83,layer1,19,Dots and lines,False
84,layer1,20,The area under a object,False
85,layer1,21,Text,True
86,layer1,22,Spots of the color white,False
87,layer1,23,Spots of the color white,False
88,layer1,24,Vertical lines,False
89,layer1,25,Words,True
90,layer1,26,Horizontal lines,False
91,layer1,27,Words,True
92,layer1,28,Words,True
93,layer1,29,Horizontal lines,False
94,layer1,30,Horizontal lines,False
95,layer1,31,Words and letters,True
96,layer1,32,Words,True
97,layer1,33,White dots outlining objects,False
98,layer1,34,Red and white colored objects,False
99,layer1,35,Words and letters,True
100,layer1,36,Red and yellow objects,False
101,layer1,37,White dots outlining objects,False
102,layer1,38,Words,True
103,layer1,39,White outlines of objects,False
104,layer1,40,A white outlines,False
105,layer1,41,Words,True
106,layer1,42,Horizontal lines,False
107,layer1,43,Sharks and the ocean,False
108,layer1,44,Vertical lines,False
109,layer1,45,Words,True
110,layer1,46,Words and letters,True
111,layer1,47,Vertical lines,False
112,layer1,48,Words,True
113,layer1,49,Words,True
