mode,trial,n_ablated,clean_acc,adv_acc
baseline,0,0,0.778247096092925,0.09477707006369426
text-sorted,1,0,0.778247096092925,0.09477707006369426
text-sorted,1,2,0.781414994720169,0.09477707006369426
text-sorted,1,4,0.7856388595564942,0.09503184713375797
text-sorted,1,6,0.7845828933474129,0.09503184713375797
text-sorted,1,8,0.7888067581837381,0.09477707006369426
text-sorted,1,10,0.7961985216473073,0.09452229299363057
text-sorted,1,12,0.7877507919746568,0.09452229299363057
text-sorted,1,14,0.7856388595564942,0.09503184713375797
text-sorted,1,16,0.7803590285110876,0.09528662420382165
text-sorted,1,18,0.7719112988384371,0.09681528662420383
text-sorted,1,20,0.7719112988384371,0.10165605095541401
text-sorted,1,22,0.7697993664202746,0.10369426751592356
text-sorted,1,24,0.7655755015839493,0.10522292993630573
text-sorted,1,26,0.764519535374868,0.10522292993630573
text-sorted,1,28,0.7624076029567054,0.10726114649681529
text-sorted,1,30,0.7529039070749736,0.10802547770700636
text-sorted,1,32,0.747624076029567,0.10904458598726115
text-sorted,1,34,0.7455121436114044,0.11031847133757962
text-sorted,1,36,0.7423442449841605,0.10853503184713376
text-sorted,1,38,0.7465681098204857,0.10471337579617834
text-sorted,1,40,0.7434002111932418,0.10573248407643313
text-sorted,1,42,0.7423442449841605,0.10598726114649681
text-sorted,1,44,0.7412882787750792,0.10777070063694268
text-sorted,1,46,0.7391763463569165,0.10802547770700636
text-sorted,1,48,0.7381203801478353,0.1070063694267516
text-sorted,1,50,0.737064413938754,0.10726114649681529
text-sorted,1,52,0.7328405491024287,0.11057324840764331
text-sorted,1,54,0.7307286166842661,0.11057324840764331
text-sorted,1,56,0.7296726504751848,0.11337579617834395
text-sorted,1,58,0.7286166842661035,0.11617834394904458
text-sorted,1,60,0.7275607180570222,0.11898089171974523
text-sorted,1,62,0.723336853220697,0.1202547770700637
text-sorted,1,64,0.7180570221752904,0.12382165605095541
text-sorted,1,66,0.7127771911298838,0.1245859872611465
text-sorted,1,68,0.7117212249208026,0.1294267515923567
text-sorted,1,70,0.7022175290390708,0.13121019108280255
text-sorted,1,72,0.6979936642027456,0.13452229299363058
text-sorted,1,74,0.7022175290390708,0.13656050955414012
text-sorted,1,76,0.7001055966209081,0.13579617834394905
text-sorted,1,78,0.7001055966209081,0.13656050955414012
text-sorted,1,80,0.6990496304118268,0.1380891719745223
sort-all,1,0,0.778247096092925,0.09477707006369426
sort-all,1,2,0.7845828933474129,0.09477707006369426
sort-all,1,4,0.781414994720169,0.09503184713375797
sort-all,1,6,0.7835269271383316,0.09528662420382165
sort-all,1,8,0.7793030623020063,0.09707006369426752
sort-all,1,10,0.7687434002111933,0.0978343949044586
sort-all,1,12,0.7560718057022175,0.10012738853503185
sort-all,1,14,0.7571277719112989,0.09910828025477707
sort-all,1,16,0.7550158394931362,0.09936305732484077
sort-all,1,18,0.7529039070749736,0.10012738853503185
sort-all,1,20,0.7412882787750792,0.10063694267515924
sort-all,1,22,0.7328405491024287,0.09961783439490446
sort-all,1,24,0.723336853220697,0.10929936305732484
sort-all,1,26,0.720168954593453,0.11363057324840764
sort-all,1,28,0.7127771911298838,0.12050955414012739
sort-all,1,30,0.7053854276663146,0.1245859872611465
