unit_index,layer,channel,description,is_text_neuron
0,features.14,0,The left side of the object,False
1,features.14,1,Words,True
2,features.14,2,Words,True
3,features.14,3,Vertical lines,False
4,features.14,4,Red and white colored objects,False
5,features.14,5,Words,True
6,features.14,6,Words,True
7,features.14,7,Edges,False
8,features.14,8,Edges,False
9,features.14,9,Red and white objects,False
10,features.14,10,Words and letters,True
11,features.14,11,Spots of the color white,False
12,features.14,12,The color green,False
13,features.14,13,The left side of the object,False
14,features.14,14,The left side of the object,False
15,features.14,15,Edges,False
16,features.14,16,Words,True
17,features.14,17,Words,True
18,features.14,18,Edges,False
19,features.14,19,Horizontal lines,False
20,features.14,20,Words,True
21,features.14,21,Words,True
22,features.14,22,White lines,False
23,features.14,23,Sharks,False
24,features.14,24,Text,True
25,features.14,25,Blue sky,False
26,features.14,26,Spots of the color white,False
27,features.14,27,Words,True
28,features.14,28,White lines,False
29,features.14,29,Horizontal lines,False
30,features.14,30,Green areas in picture,False
31,features.14,31,Words,True
32,features.14,32,White outlines of objects,False
33,features.14,33,White lines,False
34,features.14,34,White lines,False
35,features.14,35,Horizontal lines,False
36,features.14,36,Green colored objects,False
37,features.14,37,The blue sky,False
38,features.14,38,The top and bottom of objects,False
39,features.14,39,Text,True
40,features.14,40,Spots of the color white,False
41,features.14,41,Words,True
42,features.14,42,Words,True
43,features.14,43,The left side of the object,False
44,features.14,44,Words,True
45,features.14,45,Words,True
46,features.14,46,Words,True
47,features.14,47,Words,True
48,features.14,48,Horizontal lines,False
49,features.14,49,White outlines of objects,False
50,features.14,50,Blue objects,False
51,features.14,51,Green areas in picture,False
52,features.14,52,Words,True
53,features.14,53,Green areas in picture,False
54,features.14,54,Edges,False
55,features.14,55,Dots,False
56,features.14,56,Dots on the corners,False
57,features.14,57,Words,True
58,features.14,58,Horizontal lines,False
59,features.14,59,White outlines of objects,False
60,features.14,60,Edges of objects,False
61,features.14,61,People dancing,False
62,features.14,62,Spots of the color white,False
63,features.14,63,Words,True
64,features.14,64,Spots of the color white,False
65,features.14,65,Spots of the color white,False
66,features.14,66,White backgrounds,False
67,features.14,67,White backgrounds,False
68,features.14,68,Spots of the color white,False
69,features.14,69,The color green,False
70,features.14,70,Words,True
71,features.14,71,Words and letters,True
72,features.14,72,Words,True
73,features.14,73,Words,True
74,features.14,74,Vertical lines,False
75,features.14,75,Edges,False
76,features.14,76,Horizontal lines,False
77,features.14,77,Horizontal lines,False
78,features.14,78,Words and letters,True
79,features.14,79,The area above a object,False
80,features.14,80,The left side of the object,False
81,features.14,81,Horizontal lines,False
82,features.14,82,Words,True
83,features.14,83,Words,True
84,features.14,84,Words,True
85,features.14,85,Words,True
86,features.14,86,Words,True
87,features.14,87,White outlines,False
88,features.14,88,Edges,False
89,features.14,89,Edges,False
90,features.14,90,Sharks and white lettering,True
91,features.14,91,Dots on yellow objects,False
92,features.14,92,Words,True
93,features.14,93,Blue sky,False
94,features.14,94,Green areas in picture,False
95,features.14,95,Edges,False
96,features.14,96,Words,True
97,features.14,97,Words,True
98,features.14,98,Spots of the color white,False
99,features.14,99,Words,True
100,features.14,100,The area under a object,False
101,features.14,101,Blue sky,False
102,features.14,102,Horizontal lines,False
103,features.14,103,Words,True
104,features.14,104,Words,True
105,features.14,105,Text,True
106,features.14,106,Words,True
107,features.14,107,The area under the object,False
108,features.14,108,Red and blue dots,False
109,features.14,109,Words,True
110,features.14,110,Red and white colored objects,False
111,features.14,111,Sharks and white lettering,True
112,features.14,112,Sharks,False
113,features.14,113,Words,True
114,features.14,114,Words,True
115,features.14,115,Words,True
116,features.14,116,Words,True
117,features.14,117,Words and letters,True
118,features.14,118,Blue objects,False
119,features.14,119,Spots of the color white,False
120,features.14,120,Words and letters,True
121,features.14,121,The area under a object,False
122,features.14,122,Blue dots,False
123,features.14,123,Blue objects,False
124,features.14,124,Vertical lines,False
125,features.14,125,Horizontal lines,False
126,features.14,126,Red and white colored objects,False
127,features.14,127,White outlines of objects,False
128,features.14,128,Edges of objects,False
129,features.14,129,Pale areas,False
130,features.14,130,Words,True
131,features.14,131,Words,True
132,features.14,132,Blue sky,False
133,features.14,133,White outlines of objects,False
134,features.14,134,Words,True
135,features.14,135,The left side of the object,False
136,features.14,136,White colored objects,False
137,features.14,137,Edges,False
138,features.14,138,Red and white colored objects,False
139,features.14,139,Words,True
140,features.14,140,Words,True
141,features.14,141,Words,True
142,features.14,142,Edges,False
143,features.14,143,Blue objects,False
144,features.14,144,Blue areas in pictures,False
145,features.14,145,Words and letters,True
146,features.14,146,African animals,False
147,features.14,147,Words,True
148,features.14,148,Grass,False
149,features.14,149,Animals posing for a photo,False
150,features.14,150,Blue skies,False
151,features.14,151,Words,True
152,features.14,152,Words,True
153,features.14,153,Vertical lines,False
154,features.14,154,Words,True
155,features.14,155,Words,True
156,features.14,156,Spots of the color white,False
157,features.14,157,Dots on the corners,False
158,features.14,158,Words,True
159,features.14,159,Words,True
160,features.14,160,White outlines of objects,False
161,features.14,161,Black and white colored objects,False
162,features.14,162,The area above a object,False
163,features.14,163,Dots on the bottom of a line,False
164,features.14,164,Blue sky,False
165,features.14,165,Sharks and black lettering,True
166,features.14,166,Edges,False
167,features.14,167,Vertical lines,False
168,features.14,168,The left side of objects,False
169,features.14,169,Words,True
170,features.14,170,Words,True
171,features.14,171,Words,True
172,features.14,172,Red and white colored objects,False
173,features.14,173,Words,True
174,features.14,174,White backgrounds,False
175,features.14,175,Words,True
176,features.14,176,Blue objects,False
177,features.14,177,Dots on the corners,False
178,features.14,178,Edges,False
179,features.14,179,Words,True
180,features.14,180,Edges,False
181,features.14,181,Text,True
182,features.14,182,Blue objects,False
183,features.14,183,Horizontal lines,False
184,features.14,184,Blue objects,False
185,features.14,185,The area under a object,False
186,features.14,186,The area under the object,False
187,features.14,187,Blue objects,False
188,features.14,188,Words,True
189,features.14,189,Words,True
190,features.14,190,Blue objects,False
191,features.14,191,Blue sky,False
192,features.14,192,Words,True
193,features.14,193,The right side,False
194,features.14,194,Words,True
195,features.14,195,Colorful dots,False
196,features.14,196,The area under a object,False
197,features.14,197,Words and letters,True
198,features.14,198,Blue dots,False
199,features.14,199,Nothing highlighted,False
200,features.14,200,Words,True
201,features.14,201,Words,True
202,features.14,202,Words,True
203,features.14,203,Words,True
204,features.14,204,Words,True
205,features.14,205,Words,True
206,features.14,206,The color green,False
207,features.14,207,Words,True
208,features.14,208,White areas,False
209,features.14,209,Words,True
210,features.14,210,White lines,False
211,features.14,211,Words,True
212,features.14,212,Words,True
213,features.14,213,White dots outlining objects,False
214,features.14,214,Words,True
215,features.14,215,Blue objects,False
216,features.14,216,White lines,False
217,features.14,217,Words,True
218,features.14,218,Blue skies,False
219,features.14,219,Diagonal lines,False
220,features.14,220,Words,True
221,features.14,221,Words,True
222,features.14,222,The left side of the object,False
223,features.14,223,Words,True
224,features.14,224,Pale areas,False
225,features.14,225,Words,True
226,features.14,226,Words,True
227,features.14,227,Nothing,False
228,features.14,228,White colored spots,False
229,features.14,229,Words,True
230,features.14,230,Words,True
231,features.14,231,The left side of the object,False
232,features.14,232,Words,True
233,features.14,233,White outlines of objects,False
234,features.14,234,Horizontal lines,False
235,features.14,235,Words,True
236,features.14,236,Words,True
237,features.14,237,Edges,False
238,features.14,238,Edges of objects,False
239,features.14,239,The right side,False
240,features.14,240,Words,True
241,features.14,241,The top and bottom of objects,False
242,features.14,242,Blue skies,False
243,features.14,243,Spots of the color white,False
244,features.14,244,Blue objects,False
245,features.14,245,Words,True
246,features.14,246,Blue skies,False
247,features.14,247,Dots on the corners,False
248,features.14,248,Words,True
249,features.14,249,The left side of objects,False
250,features.14,250,Spots of the color white,False
251,features.14,251,White outlines of objects,False
252,features.14,252,Words,True
253,features.14,253,Words,True
254,features.14,254,Words,True
255,features.14,255,Green areas in picture,False
256,features.2,0,White areas,False
257,features.2,1,White outlines,False
258,features.2,2,The left side of the object,False
259,features.2,3,Orange and yellow objects,False
260,features.2,4,Red colored objects,False
261,features.2,5,The left side of objects,False
262,features.2,6,Words,True
263,features.2,7,Words,True
264,features.2,8,Sharks,False
265,features.2,9,White outlines of objects,False
266,features.2,10,Words,True
267,features.2,11,White dots outlining objects,False
268,features.2,12,Horizontal lines,False
269,features.2,13,Words and letters,True
270,features.2,14,Words,True
271,features.2,15,Blue objects,False
272,features.2,16,White lines,False
273,features.2,17,Words,True
274,features.2,18,White dots outlining objects,False
275,features.2,19,Black and white lettering,True
276,features.2,20,White areas,False
277,features.2,21,Words,True
278,features.2,22,Horizontal lines,False
279,features.2,23,White outlines,False
280,features.2,24,Words,True
281,features.2,25,White outlines of black objects,False
282,features.2,26,Blue objects,False
283,features.2,27,Words,True
284,features.2,28,The area under the line,False
285,features.2,29,Words,True
286,features.2,30,White outlines of objects,False
287,features.2,31,Horizontal lines,False
288,features.2,32,Words,True
289,features.2,33,White dots outlining objects,False
290,features.2,34,Blue objects,False
291,features.2,35,Nothing,False
292,features.2,36,Words,True
293,features.2,37,Black and white lettering,True
294,features.2,38,White lines,False
295,features.2,39,White lines,False
296,features.2,40,Blue objects,False
297,features.2,41,Horizontal lines,False
298,features.2,42,Words,True
299,features.2,43,Edges,False
300,features.2,44,White outlines,False
301,features.2,45,Horizontal lines,False
302,features.2,46,White outlines of objects,False
303,features.2,47,Horizontal lines,False
304,features.2,48,Edges of objects,False
305,features.2,49,Words,True
306,features.2,50,Edges of objects,False
307,features.2,51,Spots of the color white,False
